parameter_name,Limb morphology
gene_symbol,Kdm5b
analysis_id,z56pz35r308hzzy
pvalue,0.3237361
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_084_001
mouse_strain,C57BL
