gene_symbol,Pdia3
parameter_id,MGP_MLN_010_001
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C55BL
analysis_id,9eu6y7617neg319
gene_accession_id,MGI:95834
mouse_life_stage,Early adult
pvalue,0.9209546
