analysis_id,3l13e1y071205dm
pvalue,0.7394333
parameter_id,IMPC_CSD_028_001
mouse_life_stage,E12.5
parameter_name,Snout size
mouse_strain,C57BL
gene_accession_id,MGI:95457
gene_symbol,Mecom
