gene_symbol,Maco1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
pvalue,0.653875
parameter_id,MGP_PBI_016_001
parameter_name,Monocyte percentage
mouse_strain,C57BL
analysis_id,gqj2335b40boy3c
