mouse_life_stage,E18.5
pvalue,0.06578951
analysis_id,o6o0mkwq372vl90
gene_symbol,Lpgat1
parameter_name,HDL-cholesterol
parameter_id,ESLIM_021_001_005
gene_accession_id,MGI:2446186
mouse_strain,C57BL
