analysis_id,h38ia2a2mb752j5
mouse_life_stage,Early adult
gene_symbol,Wars2
parameter_id,IMPC_CSD_029_001
gene_accession_id,MGI:1917810
pvalue,0.5904495
mouse_strain,C57BL
parameter_name,Activity (body position)
