parameter_id,IMPC_OFD_013_001
gene_symbol,Col6a3
pvalue,0.5930809
analysis_id,4f7872h9p268oxj
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_name,Periphery average speed
mouse_strain,C57BL
