pvalue,0.663752
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
analysis_id,rkhr52096324ru5
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
