gene_symbol,Pld1
parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
gene_accession_id,MGI:109585
pvalue,0.3263764
mouse_life_stage,Early adult
analysis_id,1oa2ih2s8hu2440
parameter_name,Eye
