gene_symbol,Sprr1b
analysis_id,q0337466v4027jc
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:106659
pvalue,0.7323309
