parameter_name,Tibia length
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
analysis_id,1ew035j8h0jh53x
parameter_id,TCPLA_XRY_033_001
pvalue,0.8185658
gene_symbol,Psmd14
mouse_strain,C57BL
