parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1914944
analysis_id,i997fut1f7a2s01
pvalue,0.2702802
gene_symbol,Ift74
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total food intake
