parameter_name,Basophil differential count
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
pvalue,0.7670774
analysis_id,8z836is8cqcmtl8
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
