gene_symbol,Trp53rkb
analysis_id,41h5vqdk759760f
pvalue,0.9903978
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
