gene_symbol,Ppm1j
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
pvalue,0.523905
parameter_name,Right kidney weight
analysis_id,s9lpksm5epaic99
mouse_strain,C57BL
