parameter_id,JAXLA_GRS_010_001
mouse_strain,C57BL
analysis_id,f9ve877u55fzn9o
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.3726793
gene_symbol,Atf3
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
