parameter_id,IMPC_CAL_008_001
analysis_id,930l960z8117y3q
gene_symbol,Slc28a2
pvalue,0.3967302
gene_accession_id,MGI:1913105
parameter_name,Total food intake
mouse_life_stage,Early adult
mouse_strain,C57BL
