analysis_id,mfx46x6q54m442w
parameter_id,M-G-P_009_001_003
mouse_life_stage,Early adult
parameter_name,Body weight
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_strain,C57BL
pvalue,0.9218806
