gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_name,Cholesterol ratio
analysis_id,t7j48sjqfn33j9f
pvalue,0.2636825
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Early adult
