gene_symbol,Ddx27
parameter_name,CV
analysis_id,858f097338xp7fn
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3375768
gene_accession_id,MGI:2385884
parameter_id,IMPC_ECG_003_001
