analysis_id,51gq8jv512w0624
parameter_id,MGP_IMM_007_001
gene_symbol,AU040320
mouse_strain,C57BL
pvalue,0.5815397
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:2140475
