pvalue,0.6066477
analysis_id,a203tx5r62n6e7n
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
