gene_symbol,Trim46
parameter_name,Body position
mouse_strain,C57BL
analysis_id,h1k04c523in962p
pvalue,0.7989078
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
parameter_id,ESLIM_008_001_001
