gene_symbol,Ncaph
pvalue,0.5242039
gene_accession_id,MGI:2444777
parameter_id,ESLIM_008_001_001
mouse_life_stage,Early adult
parameter_name,Body position
analysis_id,z3dyb5147r17on3
mouse_strain,C51BL
