analysis_id,e7rj1931ma1hddg
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Frmpd1
pvalue,0.5221065
parameter_id,MGP_MLN_021_001
