analysis_id,3nlm0g783534r5v
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_symbol,Trim46
pvalue,0.4517281
gene_accession_id,MGI:2673000
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
