parameter_name,Periphery distance travelled
pvalue,0.9645439
gene_accession_id,MGI:2446274
analysis_id,zq76q73h0p5e04p
gene_symbol,Frmpd1
mouse_strain,C59BL
parameter_id,ESLIM_007_001_006
mouse_life_stage,Late adult
