gene_symbol,Dcaf12
parameter_name,Tremor
analysis_id,y25r546bef5443x
pvalue,0.4411245
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916220
