gene_symbol,Sprr1b
gene_accession_id,MGI:106659
parameter_name,Neural tube closure
pvalue,0.5984533
analysis_id,ac36g9hlie68367
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
