parameter_id,HRWLLA_FEA_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_name,Cue Baseline % Freezing Time
analysis_id,8z4z6r4165t4tst
pvalue,0.5960268
mouse_life_stage,Early adult
