parameter_id,JAX_LDT_004_001
analysis_id,e6nxr4kvjz83mb6
pvalue,0.5285319
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Dark side time spent
gene_accession_id,MGI:97838
gene_symbol,Eprs1
