analysis_id,97658mr2vz3kqw8
parameter_id,IMPC_IPG_010_001
gene_accession_id,MGI:1916043
mouse_strain,C57BL
gene_symbol,Rab3gap2
parameter_name,Fasted blood glucose concentration
pvalue,0.2191356
mouse_life_stage,Early adult
