parameter_name,Basophil cell count
mouse_life_stage,E9.5
pvalue,0.8072651
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_id,IMPC_HEM_037_001
analysis_id,g5y1907z122a1at
mouse_strain,C57BL
