gene_symbol,Ncaph
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_011_001
pvalue,0.3276362
analysis_id,s38x9n6l2gi3j6w
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:2444777
