gene_symbol,Ahctf1
mouse_life_stage,Early adult
analysis_id,457uty845t66c78
pvalue,0.298255
mouse_strain,C57BL
gene_accession_id,MGI:1915033
parameter_id,MGP_IMM_020_001
parameter_name,Effector gd T cells - % of gd T cells
