mouse_life_stage,Late adult
parameter_name,Eosinophil cell count
pvalue,0.4007424
parameter_id,IMPC_HEM_036_001
gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
analysis_id,b5ljo6l55s51w31
