gene_symbol,Tiprl
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1915087
parameter_name,Number of centre entries
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,znok0431y74y54l
pvalue,0.8629128
