gene_symbol,Ufc1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
analysis_id,1687ep55u41vou8
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,TCPLA_GRS_011_001
mouse_strain,C57BL
pvalue,0.8198845
