analysis_id,1z5bu44vl1t1k3b
pvalue,0.8188354
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_010_001
gene_symbol,Nemp2
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_accession_id,MGI:2444113
