analysis_id,5fy7511l1vu6iq0
parameter_id,IMPC_IMM_006_001
mouse_strain,C57BL
gene_symbol,Kcng1
mouse_life_stage,Early adult
parameter_name,Others
pvalue,0.8929761
gene_accession_id,MGI:3616086
