parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
pvalue,0.926312
gene_symbol,Toporsl
mouse_strain,C57BL
parameter_name,Placenta Morphology
analysis_id,4y8o1707g70qrdq
