gene_symbol,Sla2
gene_accession_id,MGI:1925049
mouse_strain,C57BL
parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Early adult
pvalue,0.9507113
analysis_id,9lvdft29688o45b
