parameter_name,BMC/Body weight
gene_symbol,Exd1
gene_accession_id,MGI:3045306
analysis_id,lztp8q02lpinyzr
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
pvalue,0.9302817
