parameter_name,Thoracic processes
mouse_life_stage,Early adult
gene_symbol,Fgb
parameter_id,IMPC_XRY_064_001
mouse_strain,C57BL
analysis_id,cz81my5o7hj9gd5
gene_accession_id,MGI:99501
pvalue,0.9662177
