analysis_id,q47e7q1mv856ok9
pvalue,0.4730301
parameter_name,Mean corpuscular hemoglobin
gene_symbol,Nipal3
mouse_strain,129SV
gene_accession_id,MGI:1921802
parameter_id,IMPC_HEM_006_001
mouse_life_stage,Early adult
