parameter_name,Head morphology
gene_symbol,Kdm4c
pvalue,0.7343807
analysis_id,6f9m810k08rclz9
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
