gene_symbol,Fgb
parameter_name,center - resting time
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
analysis_id,c2000bg58v722yr
pvalue,0.6758082
mouse_strain,C57BL
gene_accession_id,MGI:99501
