analysis_id,39dg68881ibb0hi
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_id,ESLIM_016_001_002
gene_symbol,AU040320
parameter_name,Red blood cell count
pvalue,0.4171497
mouse_life_stage,Middle aged adult
