parameter_id,JAXLA_OFD_020_001
gene_symbol,Ift74
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
gene_accession_id,MGI:1914944
pvalue,0.5730047
mouse_strain,C57BL
analysis_id,0j7z37e0im31c84
