gene_symbol,Slc30a4
parameter_id,IMPC_ACS_033_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,% Pre-pulse inhibition - PPI1
pvalue,0.2422359
gene_accession_id,MGI:1345282
analysis_id,qv2n8h43851xu2g
