gene_symbol,Ntmt2
pvalue,0.7612704
parameter_name,Limb coat/hair presence
analysis_id,2bx187659oe0yt7
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685053
parameter_id,MGP_CSD_030_001
