parameter_name,Facial Morphology
analysis_id,7kvmyj6p388s304
gene_symbol,RAB13
mouse_life_stage,Early adult
pvalue,0.4587044
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:1927232
