gene_symbol,Psmd14
pvalue,0.2466252
mouse_strain,C57BL
gene_accession_id,MGI:1913284
parameter_id,MGP_CSD_015_001
mouse_life_stage,Early adult
analysis_id,x0op7gh5n2q97u1
parameter_name,Head coat/hair presence
