gene_symbol,Bmp7
gene_accession_id,MGI:103302
parameter_name,Red blood cell distribution width
parameter_id,IMPC_HEM_027_001
mouse_life_stage,Early adult
pvalue,0.9829191
mouse_strain,C57BL
analysis_id,t90jo4w1eyx16xo
