gene_symbol,Rnf114
analysis_id,317jzdygf7o9ojq
mouse_strain,C57BL
parameter_id,IMPC_IPG_011_001
parameter_name,Initial response to glucose challenge
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
pvalue,0.983133
