parameter_id,HRWLLA_FEA_015_001
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cue Baseline % Freezing Time
analysis_id,tg786oe21s01i7o
gene_symbol,Hspa5
pvalue,0.5844552
