analysis_id,q4111olbo86k827
parameter_id,IMPC_DXA_009_001
pvalue,0.5572502
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_name,Fat/Body weight
gene_symbol,Sema6c
