parameter_name,B cell number
gene_accession_id,MGI:2446274
parameter_id,MGP_PBI_034_001
gene_symbol,Frmpd1
analysis_id,78b1556wf3a8j9q
mouse_life_stage,Middle aged adult
pvalue,0.6355159
mouse_strain,C57BL
