analysis_id,637ju636wijb159
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
parameter_name,Retina (combined)
gene_symbol,Kifap3
mouse_strain,C57BL
pvalue,0.7954884
parameter_id,JAXLA_EYE_092_001
