parameter_name,Cleft palate
mouse_life_stage,E12.5
gene_symbol,Mecom
parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
gene_accession_id,MGI:95457
analysis_id,jah4l7q9f60aws4
pvalue,0.6995359
