analysis_id,y2e3x1te155k84r
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
pvalue,0.2448416
