analysis_id,57f4q2qj693lj7y
parameter_id,IMPC_ACS_033_001
gene_accession_id,MGI:1913483
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.5686227
gene_symbol,Dmap1
