analysis_id,c18qcz65cfl3szo
gene_symbol,Rab3gap2
parameter_id,IMPC_XRY_065_001
pvalue,0.0982754
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916043
parameter_name,Lumbar processes
