mouse_life_stage,E12.5
gene_symbol,Hspa5
pvalue,0.8866657
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
analysis_id,1ev4e7vj3h04aw6
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
